ID,kaikei_date,nyuten_date,menu,category,tanka,suuryo,goukei,male,female,unknown
15759,2019/4/1 18:29,2019/4/1 17:28,food6,food,390,1,390,2,4,0
15760,2019/4/1 18:39,2019/4/1 18:22,alcohol1,alcohol,500,3,1500,1,0,0
15761,2019/4/1 18:49,2019/4/1 17:10,food248,food,700,1,700,1,4,0
15768,2019/4/1 20:01,2019/4/1 18:30,food221,food,580,1,580,3,2,0
15770,2019/4/1 20:16,2019/4/1 18:12,food259,food,580,1,580,1,0,0
15770,2019/4/1 20:16,2019/4/1 18:12,food85,food,600,1,600,1,0,0
15773,2019/4/1 20:47,2019/4/1 18:28,food221,food,580,1,580,3,0,0
15773,2019/4/1 20:47,2019/4/1 18:28,food84,food,900,1,900,3,0,0
15776,2019/4/1 20:57,2019/4/1 19:10,food4,food,490,1,490,0,3,0
15778,2019/4/1 21:00,2019/4/1 18:40,food248,food,700,1,700,3,0,0
15779,2019/4/1 21:03,2019/4/1 19:28,food19,food,750,1,750,1,1,0
15781,2019/4/1 21:09,2019/4/1 18:51,food28,food,400,1,400,1,0,0
15785,2019/4/1 21:34,2019/4/1 19:50,food103,food,250,2,500,9,1,0
15785,2019/4/1 21:34,2019/4/1 19:50,food109,food,590,2,1180,9,1,0
15785,2019/4/1 21:34,2019/4/1 19:50,food10,food,600,2,1200,9,1,0
15790,2019/4/1 22:00,2019/4/1 20:17,nomiho16,alcohol,400,2,800,0,2,0
15790,2019/4/1 22:00,2019/4/1 20:17,alcohol23,alcohol,450,1,450,0,2,0
15793,2019/4/1 22:20,2019/4/1 20:52,food85,food,600,1,600,1,0,0
15795,2019/4/1 22:23,2019/4/1 20:34,food236,food,190,2,380,1,1,0
15796,2019/4/1 22:24,2019/4/1 19:43,food167,food,750,1,750,2,0,0
15798,2019/4/1 22:47,2019/4/1 20:14,food141,food,690,1,690,3,0,0
15800,2019/4/1 23:08,2019/4/1 20:06,food68,food,1700,1,1700,4,0,0
15800,2019/4/1 23:08,2019/4/1 20:06,food83,food,690,1,690,4,0,0
15801,2019/4/1 23:24,2019/4/1 21:35,food133,food,500,2,1000,4,1,0
15803,2019/4/2 0:16,2019/4/1 20:34,food18,food,690,1,690,2,1,0
15803,2019/4/2 0:16,2019/4/1 20:34,food101,food,600,1,600,2,1,0
15809,2019/4/3 19:34,2019/4/3 18:33,food91,food,580,1,580,1,1,0
15810,2019/4/3 19:35,2019/4/3 18:42,food234,food,800,1,800,1,0,0
15812,2019/4/3 19:48,2019/4/3 17:04,nomiho6,alcohol,400,1,400,1,1,0
15816,2019/4/3 20:39,2019/4/3 18:37,food28,food,400,2,800,2,0,0
15816,2019/4/3 20:39,2019/4/3 18:37,food218,food,399,1,399,2,0,0
15818,2019/4/3 21:06,2019/4/3 19:24,food92,food,490,1,490,1,3,0
15819,2019/4/3 21:09,2019/4/3 18:49,food35,food,390,1,390,1,1,0
15821,2019/4/3 21:24,2019/4/3 18:18,food85,food,600,1,600,3,0,0
15822,2019/4/3 21:27,2019/4/3 20:17,alcohol18,alcohol,700,2,1400,1,0,0
15823,2019/4/3 21:28,2019/4/3 20:43,food48,food,800,1,800,1,0,0
15824,2019/4/3 21:36,2019/4/3 19:31,food85,food,600,1,600,5,0,0
15826,2019/4/3 21:41,2019/4/3 18:59,food234,food,800,1,800,1,1,0
15826,2019/4/3 21:41,2019/4/3 18:59,food55,food,590,1,590,1,1,0
15827,2019/4/3 21:42,2019/4/3 20:04,food10,food,600,1,600,1,0,0
15828,2019/4/3 21:43,2019/4/3 19:53,food217,food,500,1,500,1,1,0
15828,2019/4/3 21:43,2019/4/3 19:53,food196,food,350,1,350,1,1,0
15832,2019/4/3 22:21,2019/4/3 19:25,food121,food,590,1,590,3,0,0
15832,2019/4/3 22:21,2019/4/3 19:25,food233,food,1500,1,1500,3,0,0
15836,2019/4/3 23:02,2019/4/3 22:16,food88,food,550,1,550,1,0,0
15837,2019/4/3 23:13,2019/4/3 20:46,food167,food,750,1,750,4,0,0
15839,2019/4/3 23:45,2019/4/3 20:58,food239,food,350,1,350,4,0,0
15839,2019/4/3 23:45,2019/4/3 20:58,food44,food,490,1,490,4,0,0
15839,2019/4/3 23:45,2019/4/3 20:58,food261,food,480,1,480,4,0,0
15843,2019/4/4 0:02,2019/4/3 22:32,food1,food,390,1,390,1,1,0
15844,2019/4/4 0:04,2019/4/3 20:09,food42,food,500,1,500,0,2,0
15849,2019/4/4 19:50,2019/4/4 18:15,food218,food,399,1,399,2,2,0
15852,2019/4/4 20:06,2019/4/4 17:02,nomiho2,alcohol,450,1,450,2,0,0
15853,2019/4/4 20:07,2019/4/4 19:45,food121,food,590,1,590,1,1,0
15854,2019/4/4 20:25,2019/4/4 19:11,food238,food,180,2,360,0,2,0
15855,2019/4/4 20:31,2019/4/4 19:33,alcohol22,alcohol,350,1,350,1,1,0
15856,2019/4/4 20:33,2019/4/4 19:36,soft_drink1,soft_drink,300,3,900,1,2,0
15856,2019/4/4 20:33,2019/4/4 19:36,food10,food,600,1,600,1,2,0
15856,2019/4/4 20:33,2019/4/4 19:36,food42,food,500,1,500,1,2,0
15860,2019/4/4 21:09,2019/4/4 19:35,food31,food,300,1,300,2,0,0
15860,2019/4/4 21:09,2019/4/4 19:35,food113,food,980,1,980,2,0,0
15863,2019/4/4 21:40,2019/4/4 21:06,food98,food,590,1,590,0,2,0
15864,2019/4/4 21:42,2019/4/4 20:03,food88,food,550,1,550,0,3,0
15864,2019/4/4 21:42,2019/4/4 20:03,food200,food,1400,1,1400,0,3,0
15866,2019/4/4 22:12,2019/4/4 19:57,food150,food,490,1,490,1,1,0
15867,2019/4/4 22:12,2019/4/4 19:18,food27,food,270,1,270,0,2,0
15867,2019/4/4 22:12,2019/4/4 19:18,food166,food,280,1,280,0,2,0
15871,2019/4/4 22:47,2019/4/4 20:59,food36,food,999,1,999,5,0,0
15871,2019/4/4 22:47,2019/4/4 20:59,food218,food,399,1,399,5,0,0
15873,2019/4/4 22:58,2019/4/4 22:17,alcohol1,alcohol,500,1,500,2,0,0
15873,2019/4/4 22:58,2019/4/4 22:17,food216,food,399,1,399,2,0,0
15873,2019/4/4 22:58,2019/4/4 22:17,soft_drink7,soft_drink,400,1,400,2,0,0
15874,2019/4/4 23:14,2019/4/4 21:43,nomiho8,alcohol,350,1,350,0,3,0
15875,2019/4/4 23:33,2019/4/4 21:50,food252,food,180,1,180,0,2,0
15875,2019/4/4 23:33,2019/4/4 21:50,food115,food,200,1,200,0,2,0
15875,2019/4/4 23:33,2019/4/4 21:50,food27,food,270,1,270,0,2,0
15875,2019/4/4 23:33,2019/4/4 21:50,food235,food,280,1,280,0,2,0
15876,2019/4/4 23:46,2019/4/4 21:31,food258,food,100,1,100,1,2,0
15880,2019/4/5 18:49,2019/4/5 18:05,food71,food,750,1,750,2,2,0
15882,2019/4/5 19:50,2019/4/5 16:55,food247,food,390,1,390,2,0,0
15882,2019/4/5 19:50,2019/4/5 16:55,food48,food,800,1,800,2,0,0
15882,2019/4/5 19:50,2019/4/5 16:55,food161,food,600,1,600,2,0,0
15883,2019/4/5 20:00,2019/4/5 18:04,food241,food,180,1,180,1,1,0
15884,2019/4/5 20:13,2019/4/5 19:17,nomiho16,alcohol,400,2,800,1,1,0
15889,2019/4/5 20:42,2019/4/5 18:14,food50,food,999,1,999,1,2,0
15889,2019/4/5 20:42,2019/4/5 18:14,food216,food,399,1,399,1,2,0
15891,2019/4/5 20:49,2019/4/5 18:32,nomiho16,alcohol,400,2,800,3,4,0
15891,2019/4/5 20:49,2019/4/5 18:32,food170,food,400,1,400,3,4,0
15892,2019/4/5 20:51,2019/4/5 18:06,food68,food,1700,1,1700,1,1,0
15895,2019/4/5 21:27,2019/4/5 19:05,food48,food,800,1,800,2,0,0
15898,2019/4/5 21:40,2019/4/5 19:46,alcohol3,alcohol,450,1,450,1,1,0
15902,2019/4/5 22:15,2019/4/5 21:21,food197,food,499,1,499,1,1,0
15903,2019/4/5 22:16,2019/4/5 20:20,alcohol1,alcohol,500,1,500,2,0,0
15905,2019/4/5 22:28,2019/4/5 20:10,food234,food,800,1,800,1,1,0
15905,2019/4/5 22:28,2019/4/5 20:10,food141,food,690,1,690,1,1,0
15905,2019/4/5 22:28,2019/4/5 20:10,food194,food,530,1,530,1,1,0
15913,2019/4/5 23:12,2019/4/5 20:44,food6,food,390,1,390,2,2,0
15914,2019/4/5 23:20,2019/4/5 22:03,alcohol23,alcohol,450,2,900,4,4,0
15915,2019/4/5 23:22,2019/4/5 19:45,soft_drink4,soft_drink,300,1,300,0,4,0
15917,2019/4/5 23:26,2019/4/5 22:12,food98,food,590,1,590,6,0,0
15918,2019/4/5 23:29,2019/4/5 19:37,alcohol19,alcohol,400,8,3200,0,2,0
15926,2019/4/6 0:06,2019/4/5 22:39,food18,food,690,1,690,1,1,0
15928,2019/4/6 16:48,2019/4/6 15:14,soft_drink16,soft_drink,150,1,150,1,2,0
15928,2019/4/6 16:48,2019/4/6 15:14,food247,food,390,1,390,1,2,0
15929,2019/4/6 16:52,2019/4/6 15:38,alcohol38,alcohol,150,1,150,1,0,0
15930,2019/4/6 17:51,2019/4/6 16:49,food94,food,220,2,440,1,1,0
15931,2019/4/6 18:15,2019/4/6 17:09,food6,food,390,1,390,2,0,0
15932,2019/4/6 18:27,2019/4/6 17:43,nomiho16,alcohol,400,1,400,2,0,0
15935,2019/4/6 18:48,2019/4/6 18:25,food221,food,580,1,580,1,0,0
15938,2019/4/6 19:02,2019/4/6 18:10,food6,food,390,1,390,1,1,0
15939,2019/4/6 19:14,2019/4/6 16:36,food6,food,390,2,780,6,4,0
15940,2019/4/6 19:22,2019/4/6 18:02,food46,food,480,1,480,1,4,0
15943,2019/4/6 19:29,2019/4/6 18:26,food18,food,690,1,690,1,2,0
15945,2019/4/6 19:31,2019/4/6 18:48,food98,food,590,1,590,1,2,0
15946,2019/4/6 19:34,2019/4/6 18:26,food248,food,700,2,1400,2,1,0
15947,2019/4/6 19:35,2019/4/6 17:34,food250,food,400,1,400,1,1,0
15948,2019/4/6 19:35,2019/4/6 17:22,food1,food,390,1,390,4,0,0
15949,2019/4/6 19:40,2019/4/6 17:06,food1,food,390,1,390,1,1,0
15949,2019/4/6 19:40,2019/4/6 17:06,nomiho6,alcohol,400,1,400,1,1,0
15949,2019/4/6 19:40,2019/4/6 17:06,alcohol7,alcohol,400,1,400,1,1,0
15952,2019/4/6 19:59,2019/4/6 18:21,food11,food,650,1,650,4,0,0
15952,2019/4/6 19:59,2019/4/6 18:21,alcohol19,alcohol,400,1,400,4,0,0
15953,2019/4/6 20:01,2019/4/6 18:27,food234,food,800,1,800,1,1,0
15953,2019/4/6 20:01,2019/4/6 18:27,food237,food,590,1,590,1,1,0
15954,2019/4/6 20:03,2019/4/6 19:24,food221,food,580,1,580,1,1,0
15954,2019/4/6 20:03,2019/4/6 19:24,food100,food,490,1,490,1,1,0
15954,2019/4/6 20:03,2019/4/6 19:24,food150,food,490,1,490,1,1,0
15955,2019/4/6 20:12,2019/4/6 19:40,food113,food,980,1,980,1,0,0
15958,2019/4/6 20:31,2019/4/6 19:38,food221,food,580,1,580,1,0,0
15961,2019/4/6 20:39,2019/4/6 19:16,food260,food,230,1,230,0,2,0
15962,2019/4/6 20:40,2019/4/6 19:35,food17,food,750,1,750,1,2,0
15967,2019/4/6 20:58,2019/4/6 19:01,food236,food,190,1,190,0,2,0
15968,2019/4/6 21:00,2019/4/6 18:43,food132,food,390,1,390,1,1,0
15968,2019/4/6 21:00,2019/4/6 18:43,food265,food,230,1,230,1,1,0
15969,2019/4/6 21:01,2019/4/6 19:00,food271,food,580,1,580,0,3,0
15969,2019/4/6 21:01,2019/4/6 19:00,food10,food,600,1,600,0,3,0
15969,2019/4/6 21:01,2019/4/6 19:00,alcohol41,alcohol,100,1,100,0,3,0
15970,2019/4/6 21:02,2019/4/6 20:20,food103,food,250,4,1000,2,2,0
15970,2019/4/6 21:02,2019/4/6 20:20,alcohol19,alcohol,400,1,400,2,2,0
15971,2019/4/6 21:05,2019/4/6 20:08,alcohol1,alcohol,500,1,500,2,0,0
15971,2019/4/6 21:05,2019/4/6 20:08,nomiho15,alcohol,500,1,500,2,0,0
15971,2019/4/6 21:05,2019/4/6 20:08,food179,food,580,1,580,2,0,0
15975,2019/4/6 21:27,2019/4/6 19:36,alcohol6,alcohol,350,1,350,1,1,0
15979,2019/4/6 21:50,2019/4/6 19:32,food113,food,980,1,980,2,0,0
15983,2019/4/6 22:05,2019/4/6 19:32,nomiho2,alcohol,450,2,900,2,1,0
15983,2019/4/6 22:05,2019/4/6 19:32,food87,food,700,2,1400,2,1,0
15983,2019/4/6 22:05,2019/4/6 19:32,food194,food,530,1,530,2,1,0
15984,2019/4/6 22:10,2019/4/6 21:16,alcohol1,alcohol,500,1,500,1,1,0
15984,2019/4/6 22:10,2019/4/6 21:16,food83,food,690,1,690,1,1,0
15985,2019/4/6 22:12,2019/4/6 20:12,food245,food,599,1,599,1,1,0
15987,2019/4/6 22:21,2019/4/6 19:32,food217,food,500,1,500,0,2,0
15988,2019/4/6 22:24,2019/4/6 20:09,soft_drink1,soft_drink,300,1,300,1,2,0
15988,2019/4/6 22:24,2019/4/6 20:09,food234,food,800,1,800,1,2,0
15989,2019/4/6 22:46,2019/4/6 21:45,food18,food,690,1,690,4,0,0
15990,2019/4/6 22:50,2019/4/6 18:09,nomiho16,alcohol,400,1,400,0,3,0
15990,2019/4/6 22:50,2019/4/6 18:09,soft_drink9,soft_drink,400,1,400,0,3,0
15991,2019/4/6 22:51,2019/4/6 19:20,food109,food,590,1,590,1,1,0
15996,2019/4/6 23:04,2019/4/6 20:55,food44,food,490,1,490,2,0,0
15996,2019/4/6 23:04,2019/4/6 20:55,food11,food,650,1,650,2,0,0
16001,2019/4/6 23:26,2019/4/6 21:58,food50,food,999,2,1998,1,3,0
16002,2019/4/6 23:28,2019/4/6 19:17,food240,food,180,2,360,0,2,0
16011,2019/4/6 23:53,2019/4/6 21:21,alcohol1,alcohol,500,4,2000,0,5,0
16012,2019/4/7 0:00,2019/4/6 22:44,nomiho24,alcohol,500,1,500,0,5,0
16016,2019/4/7 16:17,2019/4/7 15:44,food84,food,900,1,900,3,0,0
16016,2019/4/7 16:17,2019/4/7 15:44,food19,food,750,1,750,3,0,0
16018,2019/4/7 16:55,2019/4/7 15:47,food218,food,399,1,399,1,0,0
16019,2019/4/7 17:38,2019/4/7 16:30,food218,food,399,1,399,1,2,0
16020,2019/4/7 18:16,2019/4/7 15:25,nomiho2,alcohol,450,1,450,1,0,0
16022,2019/4/7 18:37,2019/4/7 17:23,food126,food,490,1,490,1,1,0
16023,2019/4/7 18:54,2019/4/7 17:19,food256,food,250,2,500,1,1,0
16024,2019/4/7 19:16,2019/4/7 18:44,alcohol21,alcohol,350,1,350,1,0,0
16026,2019/4/7 19:21,2019/4/7 18:53,soft_drink10,soft_drink,450,1,450,1,0,0
16037,2019/4/7 20:53,2019/4/7 19:34,food17,food,750,1,750,1,1,0
16041,2019/4/7 21:25,2019/4/7 19:02,food210,food,490,1,490,1,1,0
16042,2019/4/7 21:34,2019/4/7 20:53,food83,food,690,1,690,1,0,0
16043,2019/4/7 21:36,2019/4/7 19:27,food221,food,580,1,580,1,1,0
16044,2019/4/7 21:51,2019/4/7 19:12,food6,food,390,1,390,0,3,0
16045,2019/4/7 21:52,2019/4/7 20:05,alcohol29,alcohol,500,1,500,2,0,0
16049,2019/4/7 22:05,2019/4/7 19:55,food9,food,520,1,520,1,1,0
16051,2019/4/7 22:11,2019/4/7 21:11,alcohol1,alcohol,500,3,1500,4,0,0
